iter	RMSE
0	14.40438519
1	13.68259925
2	13.01711559
3	12.39695673
4	11.82488999
5	11.28072824
6	10.7753109
7	10.31260652
8	9.902724336
9	9.50346517
10	9.157466782
11	8.83797097
12	8.537374736
13	8.255604647
14	8.001842397
15	7.775676841
16	7.5607747
17	7.368657933
18	7.183816373
19	7.02125028
20	6.871980596
21	6.739030449
22	6.61762646
23	6.502962011
24	6.402460814
25	6.31362968
26	6.230248439
27	6.153483178
28	6.076805508
29	6.014048242
30	5.955502169
31	5.900816177
32	5.853663612
33	5.816576817
34	5.777598075
35	5.743036395
36	5.711057126
37	5.686602795
38	5.65887802
39	5.636648792
40	5.614308295
41	5.592814377
42	5.572974207
43	5.554662795
44	5.539438688
45	5.524302499
46	5.509717102
47	5.497519417
48	5.486966031
49	5.476843605
50	5.468211062
51	5.461069876
52	5.45483678
53	5.447786601
54	5.441844327
55	5.436274429
56	5.430724745
57	5.426546431
58	5.422999102
59	5.419943208
60	5.416957706
61	5.413030432
62	5.409945681
63	5.40720015
64	5.403950379
65	5.401468476
66	5.399306019
67	5.396523425
68	5.394216534
69	5.392490343
70	5.390875649
71	5.389349471
72	5.387588088
73	5.385490583
74	5.384326357
75	5.382725611
76	5.381801058
77	5.380561624
78	5.379022859
79	5.377415969
80	5.376736827
81	5.37509794
82	5.374849267
83	5.373935998
84	5.373123335
85	5.371558515
86	5.370628233
87	5.369319357
88	5.368088597
89	5.36692566
90	5.366303434
91	5.365292727
92	5.364283987
93	5.363134862
94	5.362395606
95	5.361228337
96	5.359993437
97	5.359309611
98	5.358563595
99	5.357787521
100	5.356711914
101	5.355939855
102	5.355303182
103	5.354709477
104	5.354342852
105	5.35370451
106	5.353195266
107	5.352388242
108	5.351693049
109	5.351110266
110	5.350766907
111	5.349958144
112	5.349523333
113	5.348842553
114	5.348301589
115	5.347280752
116	5.346764656
117	5.346287705
118	5.345849273
119	5.345382691
120	5.344510989
121	5.34352543
122	5.343144499
123	5.342134854
124	5.341549151
125	5.340585721
126	5.339916064
127	5.338928997
128	5.3383179
129	5.337228093
130	5.336457668
131	5.335979815
132	5.33532648
133	5.334601644
134	5.333953648
135	5.333475686
136	5.332678885
137	5.332203459
138	5.331378559
139	5.330798288
140	5.330114416
141	5.329488484
142	5.329436433
143	5.328431681
144	5.327782787
145	5.327278494
146	5.326589769
147	5.326173416
148	5.325286478
149	5.324839545
150	5.324181776
151	5.323524876
152	5.323288586
153	5.322527844
154	5.322105142
155	5.321506499
156	5.321159162
157	5.320699317
158	5.320232286
159	5.319735812
160	5.319265807
161	5.318602479
162	5.317773575
163	5.316988136
164	5.316134094
165	5.315274765
166	5.314322003
167	5.313808466
168	5.313046465
169	5.313007903
170	5.312432217
171	5.311747577
172	5.311135152
173	5.310635853
174	5.310131651
175	5.309503917
176	5.30921593
177	5.308890525
178	5.308841524
179	5.308791178
180	5.308161884
181	5.308117573
182	5.307921396
183	5.307648724
184	5.307125442
185	5.307047327
186	5.306672322
187	5.306552421
188	5.306398623
189	5.305861882
190	5.305737915
191	5.30472926
192	5.303676497
193	5.303214831
194	5.302378576
195	5.302277014
196	5.301722131
197	5.301367648
198	5.300651692
199	5.300595101
200	5.300092419
201	5.299541611
202	5.29883117
203	5.298331652
204	5.297770623
205	5.29737057
206	5.297342226
207	5.297055009
208	5.296601892
209	5.295967149
210	5.295839058
211	5.295626657
212	5.294908366
213	5.294820447
214	5.294439447
215	5.293746807
216	5.293389866
217	5.292957747
218	5.292387196
219	5.291797313
220	5.291402128
221	5.290780735
222	5.290090716
223	5.289218504
224	5.28920322
225	5.288585849
226	5.28822396
227	5.28727118
228	5.286887953
229	5.286346003
230	5.285745658
231	5.285224169
232	5.285201764
233	5.284430665
234	5.284026175
235	5.283824815
236	5.283314469
237	5.282927839
238	5.28236211
239	5.281575719
240	5.28116643
241	5.280516577
242	5.280458388
243	5.280045009
244	5.280032985
245	5.279657355
246	5.278836778
247	5.278389447
248	5.278162073
249	5.277814375
250	5.277687848
251	5.276922975
252	5.276403738
253	5.275490897
254	5.275134886
255	5.274930711
256	5.274171091
257	5.273877191
258	5.27386217
259	5.27384714
260	5.273494792
261	5.272744543
262	5.272024131
263	5.271981311
264	5.271442197
265	5.271428501
266	5.270811116
267	5.270362366
268	5.270293817
269	5.269664141
270	5.269127044
271	5.268673153
272	5.268335271
273	5.267642535
274	5.266651438
275	5.266177933
276	5.265546124
277	5.264891177
278	5.264161651
279	5.263553794
280	5.262658855
281	5.262234611
282	5.262221796
283	5.261527378
284	5.261059793
285	5.261005473
286	5.260779843
287	5.260340085
288	5.259907225
289	5.259512733
290	5.258901586
291	5.258445222
292	5.25794416
293	5.257411578
294	5.256720455
295	5.256232952
296	5.255906114
297	5.255601147
298	5.255585766
299	5.25522049
300	5.254847111
301	5.254465906
302	5.253660056
303	5.253231959
304	5.252953222
305	5.252415935
306	5.252349345
307	5.251945931
308	5.251539254
309	5.250640841
310	5.25047422
311	5.250302587
312	5.249836108
313	5.249360894
314	5.249248399
315	5.248703342
316	5.248408841
317	5.24770603
318	5.247477067
319	5.246970587
320	5.246694169
321	5.246462336
322	5.246394042
323	5.246175219
324	5.245576572
325	5.244796602
326	5.244034003
327	5.2436288
328	5.243351254
329	5.243143723
330	5.243136712
331	5.242568606
332	5.242151803
333	5.241916336
334	5.241347047
335	5.241066956
336	5.240495984
337	5.239693107
338	5.239360362
339	5.238946892
340	5.238916502
341	5.238181724
342	5.237891808
343	5.237687306
344	5.237156219
345	5.236898003
346	5.236470759
347	5.236124552
348	5.236115472
349	5.235723248
350	5.235383954
351	5.23535166
352	5.235051252
353	5.234739754
354	5.234157076
355	5.234020501
356	5.233427688
357	5.23327107
358	5.232843386
359	5.232506029
360	5.232064114
361	5.231486662
362	5.230993313
363	5.230746405
364	5.230276134
365	5.229747706
366	5.229444271
367	5.228803771
368	5.228500286
369	5.228426066
370	5.228300367
371	5.227892423
372	5.227366114
373	5.227194399
374	5.226981825
375	5.226702474
376	5.226231807
377	5.2260907
378	5.225562794
379	5.225476799
380	5.225164615
381	5.224514329
382	5.224190722
383	5.22400734
384	5.223998694
385	5.223873408
386	5.223521193
387	5.223182168
388	5.223139642
389	5.222671781
390	5.221970789
391	5.221908413
392	5.221445091
393	5.221404171
394	5.221391401
395	5.221048429
396	5.22047374
397	5.220138634
398	5.219739561
399	5.219465605
400	5.219124038
401	5.218844079
402	5.218467364
403	5.218081168
404	5.217820561
405	5.217460288
406	5.21712777
407	5.216648877
408	5.216339205
409	5.216096087
410	5.215745993
411	5.215422378
412	5.2153111
413	5.215294007
414	5.215045724
415	5.214297308
416	5.213886896
417	5.213389278
418	5.213111554
419	5.212697939
420	5.212560649
421	5.212458482
422	5.212110373
423	5.211468101
424	5.211225824
425	5.210639185
426	5.210408081
427	5.210088109
428	5.209711772
429	5.20934524
430	5.208929939
431	5.208513054
432	5.208505637
433	5.208155207
434	5.207684252
435	5.207500826
436	5.206933782
437	5.206634958
438	5.205982635
439	5.205405586
440	5.205236204
441	5.204694763
442	5.204257611
443	5.203943455
444	5.203691894
445	5.203231129
446	5.20273309
447	5.202210446
448	5.201973085
449	5.201942581
450	5.201669178
451	5.201500207
452	5.201253672
453	5.200808253
454	5.200801366
455	5.200495827
456	5.200230147
457	5.199978476
458	5.19963037
459	5.199299794
460	5.198845284
461	5.198561343
462	5.198110038
463	5.197829747
464	5.197388677
465	5.19718301
466	5.197173486
467	5.196904419
468	5.196819338
469	5.19633737
470	5.196030834
471	5.195744854
472	5.195723369
473	5.195679609
474	5.195149334
475	5.194913532
476	5.19478627
477	5.194130345
478	5.193984619
479	5.193931564
480	5.193902603
481	5.193731666
482	5.193497073
483	5.192872208
484	5.192330066
485	5.191961822
486	5.19195777
487	5.191218144
488	5.190860936
489	5.190287907
490	5.19002494
491	5.18964261
492	5.189621228
493	5.189453992
494	5.189103823
495	5.188730797
496	5.188389208
497	5.187916734
498	5.187358477
499	5.187035787
500	5.186876374
501	5.186704175
502	5.186567524
503	5.186363587
504	5.186074804
505	5.185792971
506	5.185597825
507	5.185572723
508	5.185266362
509	5.185262427
510	5.185234488
