iter	Passed	Remaining
0	180	179835
1	191	95779
2	204	67808
3	214	53512
4	227	45296
5	238	39587
6	248	35223
7	257	31956
8	266	29338
9	274	27186
10	283	25447
11	291	23999
12	299	22748
13	307	21651
14	314	20680
15	322	19847
16	331	19150
17	338	18491
18	348	18007
19	358	17583
20	368	17177
21	379	16867
22	390	16591
23	400	16298
24	412	16081
25	423	15879
26	433	15614
27	443	15382
28	453	15169
29	464	15015
30	473	14799
31	482	14591
32	490	14372
33	498	14177
34	507	13992
35	515	13814
36	523	13633
37	532	13472
38	540	13306
39	548	13171
40	556	13027
41	566	12923
42	575	12812
43	585	12717
44	594	12623
45	603	12519
46	611	12403
47	618	12273
48	627	12184
49	636	12091
50	644	12000
51	653	11912
52	662	11831
53	671	11762
54	680	11685
55	688	11611
56	697	11537
57	707	11484
58	717	11435
59	725	11373
60	734	11311
61	743	11253
62	752	11196
63	761	11131
64	770	11081
65	779	11032
66	790	11006
67	800	10965
68	808	10914
69	817	10864
70	826	10809
71	835	10767
72	843	10716
73	852	10665
74	860	10609
75	868	10562
76	876	10506
77	885	10462
78	892	10407
79	900	10357
80	908	10311
81	917	10266
82	922	10194
83	931	10155
84	939	10115
85	949	10093
86	958	10063
87	968	10032
88	977	10008
89	986	9976
90	997	9962
91	1006	9930
92	1015	9901
93	1023	9867
94	1032	9836
95	1042	9816
96	1051	9787
97	1060	9764
98	1069	9735
99	1077	9701
100	1086	9670
101	1095	9645
102	1105	9625
103	1113	9597
104	1123	9577
105	1132	9550
106	1141	9530
107	1151	9507
108	1160	9484
109	1168	9456
110	1176	9420
111	1185	9396
112	1192	9364
113	1202	9342
114	1211	9324
115	1221	9306
116	1229	9276
117	1238	9260
118	1247	9238
119	1257	9218
120	1266	9203
121	1275	9179
122	1284	9156
123	1292	9133
124	1302	9119
125	1310	9093
126	1319	9072
127	1328	9048
128	1337	9027
129	1346	9010
130	1356	8998
131	1365	8977
132	1373	8954
133	1382	8936
134	1392	8919
135	1400	8900
136	1410	8888
137	1421	8880
138	1431	8868
139	1443	8864
140	1451	8845
141	1463	8842
142	1469	8804
143	1479	8794
144	1488	8777
145	1497	8757
146	1504	8731
147	1512	8709
148	1520	8682
149	1528	8659
150	1536	8637
151	1544	8615
152	1551	8588
153	1559	8566
154	1567	8545
155	1575	8524
156	1584	8505
157	1593	8491
158	1600	8468
159	1608	8446
160	1617	8426
161	1627	8416
162	1637	8409
163	1647	8400
164	1657	8388
165	1666	8370
166	1675	8356
167	1684	8343
168	1693	8327
169	1699	8299
170	1708	8281
171	1716	8263
172	1725	8247
173	1734	8231
174	1743	8219
175	1754	8212
176	1762	8193
177	1771	8181
178	1780	8164
179	1787	8145
180	1796	8130
181	1803	8106
182	1809	8080
183	1818	8064
184	1826	8048
185	1833	8025
186	1841	8006
187	1848	7983
188	1855	7961
189	1863	7945
190	1870	7923
191	1878	7904
192	1885	7884
193	1894	7868
194	1902	7855
195	1910	7836
196	1918	7821
197	1927	7807
198	1936	7794
199	1944	7776
200	1952	7759
201	1961	7747
202	1971	7739
203	1981	7731
204	1993	7730
205	2002	7719
206	2011	7706
207	2020	7694
208	2030	7686
209	2040	7675
210	2048	7660
211	2058	7649
212	2068	7642
213	2076	7626
214	2084	7611
215	2093	7599
216	2102	7586
217	2111	7573
218	2120	7562
219	2129	7551
220	2139	7542
221	2148	7530
222	2158	7519
223	2168	7511
224	2175	7494
225	2185	7485
226	2193	7469
227	2202	7459
228	2211	7444
229	2220	7433
230	2228	7420
231	2238	7409
232	2245	7390
233	2252	7375
234	2262	7366
235	2270	7349
236	2278	7336
237	2287	7322
238	2294	7307
239	2304	7296
240	2313	7287
241	2324	7279
242	2331	7263
243	2339	7248
244	2346	7231
245	2354	7217
246	2365	7210
247	2374	7200
248	2383	7188
249	2392	7177
250	2400	7164
251	2412	7160
252	2422	7153
253	2433	7146
254	2442	7137
255	2450	7122
256	2459	7111
257	2468	7099
258	2476	7084
259	2483	7069
260	2492	7058
261	2501	7047
262	2510	7035
263	2518	7020
264	2526	7008
265	2534	6993
266	2543	6981
267	2552	6972
268	2561	6960
269	2571	6952
270	2581	6943
271	2589	6931
272	2597	6917
273	2606	6905
274	2615	6895
275	2623	6883
276	2633	6872
277	2642	6863
278	2653	6858
279	2664	6850
280	2673	6839
281	2681	6827
282	2688	6811
283	2699	6805
284	2708	6794
285	2717	6784
286	2727	6776
287	2736	6766
288	2746	6755
289	2755	6747
290	2766	6740
291	2775	6730
292	2785	6720
293	2794	6710
294	2805	6703
295	2815	6697
296	2826	6689
297	2834	6677
298	2842	6663
299	2850	6651
300	2860	6643
301	2869	6632
302	2879	6623
303	2888	6613
304	2897	6602
305	2906	6592
306	2913	6576
307	2920	6562
308	2928	6548
309	2938	6540
310	2945	6526
311	2953	6512
312	2962	6501
313	2971	6491
314	2978	6478
315	2987	6466
316	2995	6454
317	3004	6444
318	3012	6430
319	3020	6418
320	3028	6405
321	3036	6394
322	3044	6380
323	3053	6371
324	3063	6362
325	3073	6355
326	3083	6345
327	3092	6335
328	3100	6323
329	3108	6311
330	3115	6297
331	3124	6287
332	3134	6277
333	3143	6268
334	3154	6262
335	3163	6251
336	3173	6244
337	3184	6237
338	3194	6229
339	3203	6219
340	3211	6205
341	3220	6195
342	3228	6184
343	3236	6171
344	3245	6161
345	3253	6149
346	3262	6139
347	3271	6129
348	3278	6115
349	3286	6104
350	3297	6097
351	3306	6086
352	3316	6078
353	3325	6068
354	3333	6056
355	3341	6044
356	3350	6034
357	3358	6022
358	3367	6013
359	3377	6004
360	3387	5996
361	3396	5986
362	3405	5976
363	3413	5964
364	3422	5955
365	3432	5945
366	3442	5936
367	3450	5926
368	3459	5916
369	3468	5906
370	3478	5898
371	3489	5890
372	3499	5882
373	3508	5872
374	3517	5862
375	3525	5851
376	3534	5840
377	3542	5829
378	3551	5819
379	3559	5808
380	3569	5799
381	3578	5788
382	3588	5781
383	3598	5772
384	3605	5759
385	3612	5746
386	3621	5736
387	3630	5726
388	3638	5715
389	3647	5704
390	3656	5694
391	3664	5683
392	3674	5674
393	3681	5662
394	3689	5651
395	3698	5641
396	3707	5630
397	3716	5621
398	3725	5610
399	3733	5599
400	3740	5587
401	3748	5576
402	3756	5565
403	3766	5556
404	3775	5546
405	3784	5536
406	3794	5528
407	3803	5518
408	3813	5510
409	3823	5502
410	3833	5493
411	3843	5484
412	3851	5473
413	3859	5462
414	3867	5451
415	3877	5443
416	3889	5437
417	3899	5429
418	3910	5421
419	3919	5412
420	3927	5401
421	3936	5391
422	3943	5379
423	3954	5371
424	3962	5361
425	3972	5352
426	3981	5343
427	3991	5335
428	4001	5326
429	4011	5318
430	4022	5310
431	4031	5300
432	4039	5289
433	4047	5278
434	4057	5269
435	4065	5259
436	4074	5249
437	4083	5239
438	4092	5230
439	4102	5221
440	4111	5211
441	4121	5203
442	4131	5194
443	4140	5184
444	4149	5175
445	4158	5164
446	4167	5155
447	4176	5145
448	4184	5135
449	4192	5124
450	4201	5114
451	4210	5104
452	4221	5097
453	4232	5089
454	4240	5078
455	4248	5068
456	4257	5058
457	4265	5048
458	4275	5039
459	4285	5031
460	4295	5022
461	4305	5014
462	4315	5005
463	4326	4998
464	4335	4987
465	4343	4977
466	4351	4966
467	4359	4955
468	4368	4945
469	4376	4935
470	4385	4926
471	4394	4916
472	4402	4905
473	4410	4894
474	4419	4884
475	4428	4874
476	4436	4864
477	4446	4855
478	4454	4845
479	4462	4834
480	4471	4824
481	4480	4815
482	4490	4806
483	4501	4798
484	4513	4792
485	4523	4783
486	4530	4772
487	4540	4763
488	4550	4754
489	4560	4746
490	4569	4736
491	4579	4728
492	4587	4718
493	4597	4708
494	4606	4699
495	4615	4689
496	4623	4679
